video,frame,timestamp_sec,rider_track_id,rider_conf,rider_bbox,occupant_count,head_count,helmeted_count,no_helmet_count,matched_occupant_ids,match_scores,raw_overload,confirmed_overload,helmet_status,elapsed_ms,fps
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,125,4.171,M002,0.879,202.3 275.6 503.6 577.7,0,0,0,0,,,0,0,UNKNOWN,27.433,36.453
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,126,4.204,M002,0.883,228.7 276.7 522.1 571.6,0,0,0,0,,,0,0,UNKNOWN,27.005,37.030
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,127,4.238,M002,0.876,242.1 277.4 540.0 563.3,0,0,0,0,,,0,0,UNKNOWN,26.891,37.188
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,128,4.271,M002,0.908,281.0 277.7 555.7 554.6,0,0,0,0,,,0,0,UNKNOWN,29.474,33.928
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,129,4.304,M002,0.915,307.1 279.1 571.5 547.4,0,0,0,0,,,0,0,UNKNOWN,27.486,36.382
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,130,4.338,M002,0.909,315.6 275.4 587.4 543.2,0,0,0,0,,,0,0,UNKNOWN,28.053,35.646
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,131,4.371,M002,0.879,365.0 277.3 601.9 538.1,1,0,1,0,P003,1.620,0,0,HELMETED,26.783,37.337
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,131,4.371,U002,0.764,124.2 253.8 327.3 476.7,0,0,0,0,,,0,0,UNKNOWN,26.783,37.337
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,132,4.404,M002,0.908,375.5 281.7 615.2 529.8,2,2,0,2,P003 P004,1.627 1.576,1,1,NO_HELMET,27.663,36.149
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,132,4.404,U002,0.351,159.7 252.7 357.7 469.6,0,0,0,0,,,0,0,UNKNOWN,27.663,36.149
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,133,4.438,M002,0.898,396.3 280.6 631.5 522.2,2,2,0,2,P003 P004,1.623 1.577,1,1,NO_HELMET,26.421,37.849
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,133,4.438,M003,0.629,232.0 254.4 376.1 463.7,0,0,0,0,,,0,0,UNKNOWN,26.421,37.849
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,134,4.471,M002,0.901,413.5 282.1 643.7 520.0,2,2,0,2,P003 P004,1.629 1.583,1,1,NO_HELMET,26.474,37.773
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,134,4.471,M003,0.695,255.3 255.9 406.0 460.0,0,0,0,0,,,0,0,UNKNOWN,26.474,37.773
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,135,4.505,M002,0.920,443.3 284.9 659.0 514.6,2,2,0,2,P003 P004,1.626 1.578,1,1,NO_HELMET,27.294,36.639
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,135,4.505,M003,0.813,293.9 256.3 410.9 457.8,0,0,0,0,,,0,0,UNKNOWN,27.294,36.639
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,136,4.538,M002,0.901,448.6 283.5 670.3 511.8,2,2,0,2,P003 P004,1.621 1.586,1,1,NO_HELMET,27.722,36.072
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,136,4.538,M003,0.830,315.3 254.4 451.4 450.4,0,0,0,0,,,0,0,UNKNOWN,27.722,36.072
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,137,4.571,M002,0.900,477.0 285.2 682.1 508.7,2,2,0,2,P003 P004,1.629 1.584,1,1,NO_HELMET,27.030,36.996
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,137,4.571,M003,0.819,344.0 254.6 469.7 446.8,0,0,0,0,,,0,0,UNKNOWN,27.030,36.996
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,138,4.605,M002,0.915,488.3 283.6 692.7 503.5,2,2,0,2,P003 P004,1.624 1.586,1,1,NO_HELMET,27.005,37.031
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,138,4.605,M003,0.893,370.7 256.5 502.2 441.1,0,0,0,0,,,0,0,UNKNOWN,27.005,37.031
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,139,4.638,M002,0.890,505.9 283.5 703.3 500.6,2,2,0,2,P003 P004,1.627 1.588,1,1,NO_HELMET,42.397,23.587
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,139,4.638,M003,0.851,396.1 258.7 519.8 435.9,0,0,0,0,,,0,0,UNKNOWN,42.397,23.587
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,140,4.671,M002,0.935,523.5 282.7 712.1 497.4,2,2,0,2,P003 P004,1.629 1.589,1,1,NO_HELMET,28.414,35.194
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,140,4.671,M003,0.890,419.5 257.2 540.3 433.6,0,0,0,0,,,0,0,UNKNOWN,28.414,35.194
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,141,4.705,M002,0.923,539.9 281.5 723.9 493.8,2,1,1,0,P003 P004,1.628 1.588,1,1,HELMETED,27.546,36.302
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,141,4.705,M003,0.873,441.1 255.7 565.5 433.0,0,0,0,0,,,0,0,UNKNOWN,27.546,36.302
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,142,4.738,M002,0.901,552.8 281.5 733.2 490.1,2,2,0,2,P003 P004,1.626 1.591,1,1,NO_HELMET,26.486,37.756
