frame,timestamp_sec,model,class_ids,class_names,elapsed_ms,fps,detections,detection_summary
48,1.600,yolov8n,1+3+0,bicycle+motorcycle+person,24.247,41.242,17,"bicycle:0, motorcycle:7, person:10"
49,1.633,baseline,0+1+2,ebike+driver+passenger,26.231,38.122,0,"ebike:0, driver:0, passenger:0"
49,1.633,bifpn,0+1+2,ebike+driver+passenger,24.149,41.409,0,"ebike:0, driver:0, passenger:0"
49,1.633,yolov8n,1+3+0,bicycle+motorcycle+person,25.901,38.608,17,"bicycle:0, motorcycle:7, person:10"
50,1.667,baseline,0+1+2,ebike+driver+passenger,24.268,41.206,0,"ebike:0, driver:0, passenger:0"
50,1.667,bifpn,0+1+2,ebike+driver+passenger,24.967,40.053,0,"ebike:0, driver:0, passenger:0"
50,1.667,yolov8n,1+3+0,bicycle+motorcycle+person,25.416,39.345,18,"bicycle:0, motorcycle:7, person:11"
51,1.700,baseline,0+1+2,ebike+driver+passenger,25.056,39.911,0,"ebike:0, driver:0, passenger:0"
51,1.700,bifpn,0+1+2,ebike+driver+passenger,25.691,38.924,0,"ebike:0, driver:0, passenger:0"
51,1.700,yolov8n,1+3+0,bicycle+motorcycle+person,24.877,40.197,18,"bicycle:0, motorcycle:7, person:11"
52,1.733,baseline,0+1+2,ebike+driver+passenger,25.915,38.588,0,"ebike:0, driver:0, passenger:0"
52,1.733,bifpn,0+1+2,ebike+driver+passenger,25.608,39.050,0,"ebike:0, driver:0, passenger:0"
52,1.733,yolov8n,1+3+0,bicycle+motorcycle+person,23.863,41.906,16,"bicycle:0, motorcycle:7, person:9"
53,1.767,baseline,0+1+2,ebike+driver+passenger,28.140,35.537,0,"ebike:0, driver:0, passenger:0"
53,1.767,bifpn,0+1+2,ebike+driver+passenger,26.914,37.156,0,"ebike:0, driver:0, passenger:0"
53,1.767,yolov8n,1+3+0,bicycle+motorcycle+person,26.912,37.158,16,"bicycle:0, motorcycle:7, person:9"
54,1.800,baseline,0+1+2,ebike+driver+passenger,25.903,38.606,0,"ebike:0, driver:0, passenger:0"
54,1.800,bifpn,0+1+2,ebike+driver+passenger,24.785,40.347,0,"ebike:0, driver:0, passenger:0"
54,1.800,yolov8n,1+3+0,bicycle+motorcycle+person,27.798,35.974,16,"bicycle:0, motorcycle:7, person:9"
55,1.833,baseline,0+1+2,ebike+driver+passenger,25.847,38.689,0,"ebike:0, driver:0, passenger:0"
55,1.833,bifpn,0+1+2,ebike+driver+passenger,26.206,38.160,0,"ebike:0, driver:0, passenger:0"
55,1.833,yolov8n,1+3+0,bicycle+motorcycle+person,26.344,37.959,16,"bicycle:0, motorcycle:7, person:9"
56,1.867,baseline,0+1+2,ebike+driver+passenger,26.364,37.930,0,"ebike:0, driver:0, passenger:0"
