frame,timestamp_sec,model,model_path,class_id,class_name,report_conf,predict_conf,imgsz,iou,elapsed_ms,fps,detections,max_conf
23,0.767,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,23.198,43.108,0,0.000
23,0.767,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,23.827,41.969,0,0.000
23,0.767,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,23.827,41.969,0,0.000
23,0.767,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,23.827,41.969,0,0.000
24,0.800,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,23.747,42.111,0,0.000
24,0.800,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,23.747,42.111,0,0.000
24,0.800,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,23.747,42.111,0,0.000
24,0.800,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,23.270,42.975,0,0.000
24,0.800,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,23.270,42.975,0,0.000
24,0.800,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,23.270,42.975,0,0.000
25,0.833,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,23.203,43.098,0,0.000
25,0.833,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,23.203,43.098,0,0.000
25,0.833,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,23.203,43.098,0,0.000
25,0.833,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,22.916,43.638,0,0.000
25,0.833,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,22.916,43.638,0,0.000
25,0.833,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,22.916,43.638,0,0.000
26,0.867,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,24.055,41.571,1,0.100
26,0.867,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,24.055,41.571,0,0.000
26,0.867,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,24.055,41.571,0,0.000
26,0.867,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,23.269,42.975,0,0.000
26,0.867,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,23.269,42.975,0,0.000
26,0.867,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,23.269,42.975,0,0.000
27,0.900,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,21.482,46.550,1,0.057
27,0.900,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,21.482,46.550,0,0.000
27,0.900,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,21.482,46.550,0,0.000
27,0.900,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,22.402,44.639,0,0.000
27,0.900,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,22.402,44.639,0,0.000
27,0.900,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,22.402,44.639,0,0.000
28,0.933,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,23.394,42.745,1,0.056
28,0.933,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,23.394,42.745,0,0.000
28,0.933,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,23.394,42.745,0,0.000
28,0.933,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,22.441,44.561,0,0.000
28,0.933,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,22.441,44.561,0,0.000
28,0.933,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,22.441,44.561,0,0.000
29,0.967,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,22.046,45.359,1,0.052
29,0.967,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,22.046,45.359,0,0.000
29,0.967,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,22.046,45.359,0,0.000
29,0.967,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,22.684,44.084,0,0.000
29,0.967,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,22.684,44.084,0,0.000
29,0.967,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,22.684,44.084,0,0.000
30,1.000,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,23.098,43.293,1,0.073
30,1.000,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,23.098,43.293,0,0.000
30,1.000,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,23.098,43.293,0,0.000
30,1.000,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,32.219,31.038,0,0.000
30,1.000,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,32.219,31.038,0,0.000
30,1.000,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,32.219,31.038,0,0.000
31,1.033,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,22.348,44.746,0,0.000
